Phrase,Predicted Toxicity,Actual Toxicity,Type
That's a stupid idea.,Toxic,Toxic,Common English
I detest this melody.,Non-Toxic,Toxic,Common English
This food is outright repulsive.,Non-Toxic,Toxic,Common English
He's a bona fide buffoon.,Toxic,Toxic,Common English
Their chronic lateness is a flagrant defiance of time.,Non-Toxic,Toxic,Common English
That cinematic disaster is a masterclass in tedium.,Non-Toxic,Toxic,Common English
Their egomania is a colossal spectacle of self-obsession.,Non-Toxic,Toxic,Common English
"He's the grandmaster of fools, without a doubt.",Toxic,Toxic,Common English
He always refrains from being a good person.,Non-Toxic,Toxic,Common English
Their mother is quite obese.,Non-Toxic,Toxic,Common English
What a wonderful idea!,Non-Toxic,Non-Toxic,Common English
This tune is delightful.,Non-Toxic,Non-Toxic,Common English
Youre looking exceptionally sharp today.,Non-Toxic,Non-Toxic,Common English
Your presence is very pleasant.,Non-Toxic,Non-Toxic,Common English
"This is the absolute truth, my friend!",Non-Toxic,Non-Toxic,Common English
A truly admirable team effort.,Non-Toxic,Non-Toxic,Common English
Your outfit is quite stylish.,Non-Toxic,Non-Toxic,Common English
Always stay true to yourself.,Non-Toxic,Non-Toxic,Common English
She is an exemplary leader.,Non-Toxic,Non-Toxic,Common English
This material is outstanding.,Non-Toxic,Non-Toxic,Common English
That's a big yikes from me.,Non-Toxic,Toxic,Gen-Z Slang
This song is so ass.,Toxic,Toxic,Gen-Z Slang
This grub is straight-up so horrible.,Non-Toxic,Toxic,Gen-Z Slang
Homie's a legit clown.,Non-Toxic,Toxic,Gen-Z Slang
"They're not just late, they're last century late.",Non-Toxic,Toxic,Gen-Z Slang
That movie was so bad omfg.,Toxic,Toxic,Gen-Z Slang
"Bro's got an ego the size of a planet, no cap ong fr.",Non-Toxic,Toxic,Gen-Z Slang
Bro is so stupid he's like the punching bag of the group,Toxic,Toxic,Gen-Z Slang
Bro is allergic to being a good person,Non-Toxic,Toxic,Gen-Z Slang
Yo mama so fat,Toxic,Toxic,Gen-Z Slang
Thats totally lit!,Non-Toxic,Non-Toxic,Gen-Z Slang
This bop slaps!,Non-Toxic,Non-Toxic,Gen-Z Slang
"Fam, youre looking snatched!",Non-Toxic,Non-Toxic,Gen-Z Slang
Your vibe is so dope.,Non-Toxic,Non-Toxic,Gen-Z Slang
"This is the tea, sis!",Non-Toxic,Non-Toxic,Gen-Z Slang
Squad goals asf,Non-Toxic,Non-Toxic,Gen-Z Slang
Your fit is on the point!,Non-Toxic,Non-Toxic,Gen-Z Slang
"Keep it 100, always.",Non-Toxic,Non-Toxic,Gen-Z Slang
We stan a queen!,Non-Toxic,Non-Toxic,Gen-Z Slang
This content is fire!,Non-Toxic,Non-Toxic,Gen-Z Slang